"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Log", "comment", "blank", "total"
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 322, 28, 350
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app.json", "JSON with Comments", 0, 68, 0, 0, 0, 0, 0, 1, 69
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app.plugin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\(app)\_layout.js", "JavaScript", 59, 0, 0, 0, 0, 0, 5, 7, 71
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\(app)\activity.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\(app)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\(app)\profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\_layout.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 91, 0, 2, 17, 110
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\addactivity.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\adduser.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\billet.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\editactivity\[id]\editactivity.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\edithome.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\editpage.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 2, 17
